Summary
==============================================================================

File                                           Hits Missed Coverage
-------------------------------------------------------------------
lua/shooter/analytics/chart.lua                46   4      92.00%
lua/shooter/analytics/data.lua                 162  40     80.20%
lua/shooter/analytics/init.lua                 8    24     25.00%
lua/shooter/analytics/report.lua               82   1      98.80%
lua/shooter/config.lua                         70   11     86.42%
lua/shooter/core/ext_config.lua                166  42     79.81%
lua/shooter/core/files.lua                     174  67     72.20%
lua/shooter/core/fix_titles.lua                86   2      97.73%
lua/shooter/core/git_push.lua                  81   6      93.10%
lua/shooter/core/greenkeep.lua                 55   26     67.90%
lua/shooter/core/move_picker.lua               78   54     59.09%
lua/shooter/core/project.lua                   27   62     30.34%
lua/shooter/core/rename.lua                    19   28     40.43%
lua/shooter/core/renumber.lua                  106  0      100.00%
lua/shooter/core/repos.lua                     18   51     26.09%
lua/shooter/core/shot_actions.lua              198  220    47.37%
lua/shooter/core/shot_delete.lua               34   1      97.14%
lua/shooter/core/shot_normalize.lua            42   1      97.67%
lua/shooter/core/shotfile_fix.lua              113  82     57.95%
lua/shooter/core/shotfile_merge.lua            62   2      96.88%
lua/shooter/core/shots.lua                     103  22     82.40%
lua/shooter/core/templates.lua                 68   29     70.10%
lua/shooter/dashboard/data.lua                 72   38     65.45%
lua/shooter/filter_state.lua                   29   40     42.03%
lua/shooter/markdown_links.lua                 37   1      97.37%
lua/shooter/plans/metaplan.lua                 771  56     93.23%
lua/shooter/plans/picker.lua                   55   52     51.40%
lua/shooter/providers/claude.lua               11   10     52.38%
lua/shooter/providers/codex.lua                26   9      74.29%
lua/shooter/providers/copilot.lua              11   20     35.48%
lua/shooter/providers/gemini.lua               25   9      73.53%
lua/shooter/providers/init.lua                 31   66     31.96%
lua/shooter/providers/opencode.lua             11   20     35.48%
lua/shooter/session/defaults.lua               70   2      97.22%
lua/shooter/session/filter.lua                 53   10     84.13%
lua/shooter/session/sort.lua                   80   15     84.21%
lua/shooter/session/storage.lua                153  1      99.35%
lua/shooter/sound.lua                          29   2      93.55%
lua/shooter/telescope/helpers.lua              2    281    0.71%
lua/shooter/telescope/link_picker.lua          43   39     52.44%
lua/shooter/telescope/recency.lua              38   0      100.00%
lua/shooter/telescope/toggle_panes_picker.lua  2    113    1.74%
lua/shooter/tmux/config_panes.lua              30   55     35.29%
lua/shooter/tmux/create.lua                    33   79     29.46%
lua/shooter/tmux/detect.lua                    21   60     25.93%
lua/shooter/tmux/hidden_session.lua            28   36     43.75%
lua/shooter/tmux/init.lua                      12   32     27.27%
lua/shooter/tmux/keys.lua                      3    29     9.38%
lua/shooter/tmux/messages.lua                  9    47     16.07%
lua/shooter/tmux/operations.lua                13   154    7.78%
lua/shooter/tmux/panes.lua                     44   28     61.11%
lua/shooter/tmux/renumber_helper.lua           37   15     71.15%
lua/shooter/tmux/script_panes.lua              22   19     53.66%
lua/shooter/tmux/send.lua                      13   90     12.62%
lua/shooter/tmux/shell.lua                     6    35     14.63%
lua/shooter/tmux/toggle_panes.lua              30   112    21.13%
lua/shooter/tools/clipboard_image.lua          44   55     44.44%
lua/shooter/tools/git_worktree_oil.lua         22   80     21.57%
lua/shooter/tools/links.lua                    41   32     56.16%
lua/shooter/tools/obsidian.lua                 22   22     50.00%
lua/shooter/tools/response_viewer.lua          36   29     55.38%
lua/shooter/tools/response_viewer/claude.lua   4    54     6.90%
lua/shooter/tools/response_viewer/opencode.lua 91   5      94.79%
lua/shooter/tools/token_counter.lua            19   12     61.29%
lua/shooter/utils.lua                          68   33     67.33%
-------------------------------------------------------------------
Total                                          3995 2672   59.92%
